,cx,cy
0,588.7001953125,21.28515625
1,76.21441947565543,23.102059925093634
2,547.6746242263483,27.320070733863837
3,123.57687991021325,33.22671156004489
4,160.9816700610998,35.4877800407332
5,504.68562874251495,33.647704590818364
6,461.0101569713758,37.95290858725762
7,202.72966781214203,41.512027491408936
8,415.1060473269062,41.96143733567047
9,370.0688622754491,45.62375249500998
10,244.10321864594894,47.0788013318535
11,286.00645756457567,51.65959409594096
12,327.29589632829374,50.073434125269976
13,49.6501014198783,53.79107505070994
14,94.41087613293051,61.32124874118832
15,574.6829521829521,60.15904365904366
16,530.5912698412699,65.03472222222223
17,137.20897832817337,65.93188854489163
18,487.07448789571697,69.43854748603351
19,443.7235701906412,75.11958405545927
20,178.66268980477224,74.24837310195228
21,398.14677419354837,78.92258064516129
22,220.5049019607843,79.79803921568627
23,352.54051565377534,81.53499079189687
24,264.11948331539287,84.06350914962326
25,307.76209677419354,85.47479838709677
26,22.37319587628866,88.37525773195877
27,64.73567467652495,91.16543438077635
28,601.2444870565676,92.95014381591562
29,558.3692307692307,96.88325791855203
30,108.82150313152401,99.88204592901879
31,514.763440860215,101.17986314760509
32,153.07474747474748,104.95858585858586
33,470.4174932371506,107.61857529305681
34,195.08169291338584,111.58464566929133
35,426.78757346767424,111.98152812762385
36,381.8009708737864,114.28834951456311
37,237.151185770751,116.64328063241106
38,340.0573543015726,117.9990749306198
39,288.73745704467353,122.059793814433
40,39.60963114754098,125.81147540983606
41,84.40212150433945,131.0443587270974
42,584.316091954023,131.33141762452107
43,128.32186948853615,137.89770723104056
44,497.44415127528583,138.3377308707124
45,540.1273885350319,135.39171974522293
46,171.519427402863,143.98977505112475
47,455.1727941176471,144.79503676470588
48,409.55969436485196,147.48615090735436
49,212.3222331047992,149.47502448579823
50,367.8847320525784,151.75935288169867
51,251.56962025316454,154.5042194092827
52,328.1094527363184,156.71741293532338
53,289.9551724137931,159.6367816091954
54,57.618589743589745,165.0405982905983
55,568.1362260343088,167.39858728557013
56,102.34923664122137,170.8969465648855
57,524.2097836312323,172.15051740357478
58,145.33546617915906,176.42321755027422
59,481.7212669683258,176.88506787330317
60,437.53038194444446,181.26215277777777
61,186.65605749486653,182.86447638603696
62,393.5422469823584,185.3091922005571
63,228.68085106382978,187.73723404255318
64,351.5600756859035,191.08420056764427
65,269.46115537848607,193.35956175298804
66,310.39762611275967,194.45103857566767
67,31.70984455958549,198.44455958549221
68,594.6405767250258,200.85272914521113
69,76.50992063492063,203.83630952380952
70,553.1307767944936,205.67649950835792
71,120.15163934426229,209.8247950819672
72,508.41328413284134,210.72970479704796
73,162.19143117593435,216.3190519598906
74,465.88046387154327,216.68599464763605
75,421.78316906747534,219.49203942380592
76,204.54967502321261,220.77251624883937
77,376.5916988416988,223.57432432432432
78,247.66876971608832,226.28706624605678
79,333.90175801447776,227.50879007238882
80,289.9949849548646,230.76328986960883
81,50.40706126687435,235.61266874350986
82,577.7904564315353,238.9221991701245
83,95.3578947368421,240.7
84,535.3973128598849,241.95969289827255
85,137.4406779661017,247.70887337986042
86,492.6578449905482,247.96219281663517
87,448.9626593806922,253.06193078324225
88,180.3136495643756,253.08518877057116
89,405.2506762849414,257.21100090171325
